id,intitule,description,dateCreation,dateActualisation,romeCode,romeLibelle,appellationlibelle,typeContrat,typeContratLibelle,natureContrat,dureeTravailLibelle,dureeTravailLibelleConverti,alternance,nombrePostes,experienceExige,experienceLibelle,competences,formations,langues,permis,outilsBureautiques,qualitesProfessionnelles,lieuTravail,entreprise,codeNAF,secteurActivite,secteurActiviteLibelle,salaire,qualificationCode,qualificationLibelle,contact,agence,accessibleTH,origineOffre,contexteTravail,date_collecte,source_API,source,category_tag,category_label
191FJTL,Informaticien / Informaticienne de développement (H/F),"Dans le cadre de notre croissance, nous souhaitons renforcer nos équipes avec des informaticiens (nes) d'étude et développement, dans les technologies suivantes :
- JAVA JEE, React Native, React JS, ANGULAR, ANGULAR JS
- BIG DATA : hdfs hadoop spark scala kafka

Compétences recherchées : Conception d'applications, réalisation de maquettes, rédaction des spécifications techniques.

Mobilité : France entière.",2025-04-15 21:21:26.412000+00:00,2025-04-15 21:21:26.806000+00:00,M1805,Développeur / Développeuse informatique,Informaticien / Informaticienne de développement,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,3 An(s),{},{},{},{},{},{},"{'libelle': '75 - PARIS 11', 'latitude': None, 'longitude': None, 'codePostal': '75011', 'commune': '75111', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Annuel de 32000.0 Euros à 36000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': 'Primes', 'complement2': 'Pc portable', 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",9.0,Cadre,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FJMB,Informaticien industriel (H/F),"Manpower MONTBRISON recherche pour son client, un acteur du secteur des Industries chimique, pétrochimique et minière, un Informaticien (H/F)
Au sein de l'équipe IT, vous serez amené à : 
-Configurer et installer de nouveaux PCs 
-Assurer le suivi des configurations déployées 
-Gérer les mises à jour nécessaires 
-Supporter les utilisateurs dans l'utilisation quotidienne des équipements informatiques 
-Résoudre les problèmes techniques rencontrés 
-Maintenir les systèmes d'exploitation Windows 10 et Windows 11 
-Administrer les accès et droits utilisateurs via Active Directory 
-Travailler en collaboration avec les autres membres de l'équipe IT 
 
BAC 2 en informatique avec de préférence une première expérience en milieu industriel, vous maîtrisez de Windows 10/11 et avez quelques notions en Active Directory. 
 
Vous vous reconnaissez ? N'hésitez plus et postulez !! 
 
 
Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap. #HANDICAPABLE 
 
Rejoindre Manpower c'est bénéficier dès la 1ère heure de notre opération MYCOOPT  parrainez un(e) ami(e) et recevez 150  bruts* (voir conditions en agence)",2025-04-15 20:10:35.697000+00:00,2025-04-15 20:10:35.996000+00:00,M1805,Développeur / Développeuse informatique,Programmeur industriel / Programmeuse industrielle,MIS,Intérim - 7 Jour(s),Contrat travail,35H Travail en journée,Temps plein,False,1.0,D,Débutant accepté,{},{},{},{},{},{},"{'libelle': '42 - Montbrison', 'latitude': None, 'longitude': None, 'codePostal': '42600', 'commune': '42147', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",78.20Z,78.0,Activités des agences de travail temporaire,"{'libelle': 'Horaire de 12.5 Euros à 14.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",2.0,Ouvrier spécialisé,"{'nom': 'MANPOWER FRANCE - Mme Marine BERTHET', 'coordonnees1': 'https://www.manpower.fr/offers/details/1101226118?partenaire=FRANCE_TRAVAIL', 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': HttpUrl('https://www.manpower.fr/offers/details/1101226118?partenaire=FRANCE_TRAVAIL')}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FJKJ,Technicien d'études (H/F),"Manpower LYON CADRES INGENIERIE recrute pour son client, un acteur du secteur des bureaux d'études et de l'ingénierie, un Technicien d'études FTTH (H/F) afin de rejoindre leur bureau de Vénissieux (69).
 

Intégré au Bureau d'études, vous participerez, par vos études, à la réussite des projets et des affaires en cours ou à venir. Vous concevrez et réaliserez les pré-études et études dans le respect des processus, des budgets et des délais. Vous êtes le garant des bonnes informations transmises. 
 
Vous aurez pour missions : 
 
Concevoir et réaliser les plans et documents d'études en conformité avec les normes et les exigences clients : 
-Analyser le cahier des charges client (CCTP, règles d'ingénierie) en amont de son étude. 
-Etablir la liste des documents à réaliser et à concevoir. 
-Produire ou contrôler l'ensemble des documents nécessaires à la réalisation du marché. 
-Réaliser et contrôler des calculs. 
-Appliquer les normes, standards, prescriptions clients dans son travail. 
-Intégrer les contraintes de site et les remontées du terrain dans les études. 
 
Participer à la réalisation et au bon déroulé des affaires confiées : 
 
-Analyser, budgéter les heures d'études définies dans le cadre du cahier des charges. 
-Participer au chiffrage des études. 
-Garantir la tenue du planning et du budget des heures affectées au projet, alerter en cas de dérive et proposer des solutions. 
-Intégrer et reformuler les demandes d'amélioration qui lui sont transmises (par le personnel chantier, les Responsables d'affaires, ... ). 
-Contrôler et garantir la qualité des informations transmises. 
-Appliquer les règles et instructions en matière de sécurité, environnement et qualité. 
 
Formation : Bac 2/3 de type BTS ou BUT ou expérience en BE d'une à deux années minimum. 
 
Connaissances requises : 
-Connaissance des logiciels (AutoCAD, Shapes, QGIS, ... ) indispensable. La maîtrise de NetGéo est un plus. 
-Connaissance du secteur d'activité (Tertiaire, FTTH, Nucléaire, Télécom, etc... ). 
 
Avantages : 
 
-Prime 13ème mois. 
-Tickets restaurant. 
 
Alors si le poste vous intéresse, n'hésitez pas à nous transmettre votre candidature dès maintenant !",2025-04-15 20:08:52.377000+00:00,2025-04-15 20:08:52.617000+00:00,M1805,Développeur / Développeuse informatique,Programmeur / Programmeuse d'études,MIS,Intérim - 1 Mois,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,2 An(s),{},{},{},{},{},{},"{'libelle': '69 - Vénissieux', 'latitude': None, 'longitude': None, 'codePostal': '69200', 'commune': '69259', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",78.20Z,78.0,Activités des agences de travail temporaire,"{'libelle': 'Horaire de 13.5 Euros à 14.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",2.0,Ouvrier spécialisé,"{'nom': 'MANPOWER FRANCE - M. Jacques CHABAL', 'coordonnees1': 'https://www.manpower.fr/offers/details/1101226071?partenaire=FRANCE_TRAVAIL', 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': HttpUrl('https://www.manpower.fr/offers/details/1101226071?partenaire=FRANCE_TRAVAIL')}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FHTH,Développeur / Développeuse informatique,"Nous recherchons un Développeur Salesforce pour rejoindre notre équipe à Levallois-Perret. Vous aurez pour mission de traduire les besoins métiers en solutions Salesforce efficaces et innovantes.

Vos missions :
Analyser et traduire les besoins métiers en solutions Salesforce adaptées.
Développer et intégrer des solutions via API.
Assurer la maintenance, les montées de version et l'évolution de la plateforme Salesforce.
Réaliser des tests unitaires et fonctionnels pour garantir la qualité des développements.
Rédiger et maintenir la documentation technique.
Assurer la sécurité et la gouvernance des développements sur Salesforce.
Travailler en méthodologie Agile (Scrum, Kanban).

Compétences requises :
Maîtrise de l'environnement Salesforce (Salesforce/Apex/Visualforce/Lightning Components).
Expérience en intégration de systèmes et développement d'API.
Compétences en développement personnalisé sur Salesforce.
Expérience en gestion de projet Agile et en DevOps.
Bonne connaissance de la sécurité et de la gouvernance sur Salesforce.
Maîtrise de Git, CI/CD et Azure DevOps (un plus).

Profil recherché :
Bac +3 à Bac +5 en informatique ou domaine équivalent.
Expérience significative en développement Salesforce.
Capacité à travailler en équipe et à communiquer efficacement.
Certifications Salesforce.",2025-04-15 18:52:37.953000+00:00,2025-04-15 18:52:38.353000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,5 An(s),{},{},{},{},{},{},"{'libelle': '92 - Levallois-Perret', 'latitude': None, 'longitude': None, 'codePostal': '92300', 'commune': '92044', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Annuel de 55000.0 Euros à 62000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",6.0,Employé qualifié,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FGSN,Développeur / Développeuse informatique,"En tant que Développeur ABAP, vous serez un acteur clé au sein de l'équipe technique de l'entreprise, avec un focus sur le développement, l'optimisation et la personnalisation des solutions SAP. Vous consacrerez 80 % de votre temps à la programmation ABAP, en développant du code performant et en challengeant les solutions proposées par l'éditeur. Vous travaillerez également sur la couche métier et fonctionnelle, en traduisant les besoins techniques en solutions compréhensibles et applicables dans le cadre des processus métier.
Vous serez responsable des tâches suivantes :

Développement ABAP (80% du temps), création de rapports, interfaces et améliorations des fonctionnalités SAP existantes
Participation à l'analyse et à la traduction des besoins fonctionnels en solutions techniques adaptées
Collaboration avec les équipes métiers pour comprendre leurs besoins et proposer des solutions techniques pertinentes
Veiller à la qualité et à la performance du code développé
Interaction avec les autres équipes internes et prestataires pour garantir la cohérence des projets SAP

Nous recherchons un développeur ABAP avec :

Une expérience confirmée en développement ABAP dans un environnement SAP
Une bonne compréhension des processus métier et la capacité à les traduire en solutions techniques
Une approche proactive pour challenger et optimiser les solutions proposées par l'éditeur
Des compétences en communication pour travailler efficacement avec des équipes métiers
Un esprit d'équipe, mais également une grande autonomie dans la gestion des tâches
Conditions :

Localisation : Siège à 1h de Bordeaux
Rémunération : 50-52K
Environ 80 collaborateurs internes et 50 prestataires dans l'équipe

Rejoignez une équipe dynamique et contribuez à des projets stimulants dans un environnement SAP !",2025-04-15 17:48:41.052000+00:00,2025-04-15 17:48:41.476000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,5 An(s),{},{},{},{},{},{},"{'libelle': '47 - Villeneuve-sur-Lot', 'latitude': None, 'longitude': None, 'codePostal': '47300', 'commune': '47323', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Mensuel de 50000.0 Euros à 52000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",8.0,Agent de maîtrise,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FGDF,Lead Dev Java Angular (H/F),"Nous recherchons un Lead Developer PHP pour rejoindre une entreprise innovante dans le secteur des dispositifs médicaux connectés. Vous aurez un rôle clé dans la conception et le développement de solutions permettant d'améliorer les pratiques des professionnels de santé.

En tant que Lead Developer PHP, vous serez en charge des missions suivantes :

Conception et développement de solutions de télémonitoring, incluant la gestion de flux EEG et vidéo synchronisés, ainsi que le stockage et le streaming en temps réel des vidéos et signaux.
Développement de solutions pour gérer des situations de connectivité intermittente, avec des options online et offline.
Création de systèmes permettant la prise de contrôle à distance des dispositifs connectés.
Conception et développement de dashboards techniques et fonctionnels pour le suivi de l'activité.
Assurer la scalabilité des applications web et leur adaptation aux évolutions du secteur.

Nous recherchons un profil expérimenté avec une forte expertise en développement PHP et une appétence pour les environnements techniques complexes.

Le candidat idéal devra posséder les compétences suivantes :

Diplôme Bac+5 en informatique ou domaine similaire.
Expérience en développement mobile (Android ou iOS) et/ou en infrastructure as code (Terraform, Ansible, Docker, Kubernetes).
Une expérience avec la gestion de flux vidéo (encodage, realtime multicast, compression) serait un plus.
Bonne maîtrise des standards de sécurité et d'authentification.
Compétences techniques : PHP, Java, TypeScript, Angular, SpringBoot, PostgreSQL, AWS, MQTT, Kafka, Docker, Terraform, Ansible, Kubernetes.

Curiosité pour les nouvelles technologies et les enjeux liés à l'Internet des objets (IoT).
Capacité à travailler au sein d'une équipe pluridisciplinaire et à prendre des initiatives.
Nous offrons un environnement dynamique, avec une équipe passionnée par les nouvelles technologies, où vous pourrez mettre vos compétences à contribution pour des projets innovants et porteurs de sens.
Postulez dès maintenant et faites partie d'une équipe dédiée à transformer le secteur de la santé grâce à la technologie !",2025-04-15 17:26:25.954000+00:00,2025-04-15 17:26:26.451000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,3 An(s),{},{},{},{},{},{},"{'libelle': '75 - Paris 13e Arrondissement', 'latitude': None, 'longitude': None, 'codePostal': '75013', 'commune': '75113', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Mensuel de 60000.0 Euros à 65000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",8.0,Agent de maîtrise,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FFXG,Developpeur Salesforce (H/F),"Au sein du département Etudes et Développement de la Direction des Systèmes Informatiques et Numériques, vous rejoindrez une équipe dynamique pour contribuer à la conception, au développement et à l'optimisation de notre environnement Salesforce.

En tant que Développeur Salesforce, vous serez en charge de la compréhension des demandes métiers et du développement de solutions personnalisées adaptées à la plateforme.

Vos missions principales :

Comprendre et traduire les exigences métiers en solutions techniques sur Salesforce.
Concevoir et développer des solutions personnalisées en utilisant Apex, Visualforce et Lightning Components.
Maîtriser le modèle de données Salesforce et paramétrer la plateforme (objets personnalisés, flux de travail, règles de validation, etc.).
Intégrer Salesforce avec d'autres systèmes d'information via des API.
Gérer les montées de version et appliquer les bonnes pratiques Salesforce.
Assurer la maintenance corrective et évolutive de l'environnement Salesforce.
Réaliser des tests unitaires et fonctionnels pour garantir la qualité des livrables.
Rédiger la documentation technique pour assurer la clarté des projets.
Compétences requises :

Solide expérience en développement avec Apex, Visualforce et Lightning Web Components.
Bonne maîtrise des outils de déploiement (Git, CI/CD, etc.).
Connaissance de Microsoft Azure DevOps est un plus.
Expérience avec les API REST/SOAP et les outils d'intégration (ETL, etc.).
Bonne compréhension des bonnes pratiques de sécurité et de gouvernance des données sur Salesforce.
Maîtrise de l'environnement Salesforce (Sales Cloud, Experience Cloud).
Capacité à analyser, proposer des solutions et à travailler en mode projet Agile.
Formation et compétences :

Diplôme en informatique (Bac+3 à Bac+5) ou expérience significative dans le domaine.
Certifications Salesforce (Platform Developer I/II, Administrator, App Builder) fortement recommandées.
Qualités :

Esprit analytique, rigueur et capacité à travailler en équipe.
Autonomie et capacité à gérer plusieurs projets simultanément.
Avantages :

Rémunération attractive en fonction de l'expérience.
Possibilité de télétravail partiel.
Opportunités de formation continue et de certifications Salesforce.
Environnement de travail dynamique et bienveillant.",2025-04-15 17:20:10.049000+00:00,2025-04-15 17:20:10.563000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,5 An(s),{},{},{},{},{},{},"{'libelle': '92 - Levallois-Perret', 'latitude': None, 'longitude': None, 'codePostal': '92300', 'commune': '92044', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Mensuel de 55000.0 Euros à 65000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",8.0,Agent de maîtrise,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FFRC,LEAD DEVELOPPEUR IoT/FULLSTACK (H/F),"Nous recherchons un(e) Lead Developer pour rejoindre une équipe dynamique et innovante, afin de jouer un rôle clé dans le développement de solutions IoT et vidéo. Vous serez responsable de la gestion et de la direction technique de deux développeurs confirmés, en supervisant des projets liés au backend, à l'IoT et au développement vidéo. Vous serez également chargé(e) de prendre des décisions stratégiques concernant l'architecture des solutions et de challenger les choix techniques avec une vision globale, tout en maintenant un focus sur la qualité du code et la cohésion d'équipe.

Votre mission comprendra :

Coordination et guidance de l'équipe de développement composée de deux développeurs confirmés
Gestion technique des projets en architecture backend, IoT, et streaming vidéo (MQTT, Kafka, Mediamtx/Wowza, encodage vidéo, multi-cast)
Garantie de l'interopérabilité des applications et de leur performance
Supervision de l'architecture globale des solutions mises en place, notamment en environnement AWS
Implication dans l'infra as code pour le déploiement des applications et le provisioning des serveurs
Collaboration avec des équipes en charge de systèmes embarqués (STM32, langage C, composants BLE nRF32, chip wifi TI CC3132)

Nous recherchons un profil senior (>10 ans d'expérience) en développement fullstack, avec une expertise en architecture IoT et vidéo, ainsi qu'une capacité de leadership technique. Vous serez un acteur clé dans la prise de décisions techniques pour l'architecture backend et IoT. Bien que vous n'ayez pas besoin d'être un expert en développement mobile, une moyenne expérience mobile Android est souhaitée pour comprendre les concepts clés du développement mobile et orienter les choix techniques globaux.

Les compétences techniques requises incluent :

MQTT, Kafka, Mediamtx/Wowza (streaming vidéo, multi-cast, encodage vidéo)
AWS et gestion des environnements cloud
Infra as code pour l'automatisation du déploiement et du provisioning des serveurs (Terraform)
Expérience en architecture backend et IoT
Connaissance intermédiaire en développement mobile Android
Expérience en systèmes embarqués (idéalement STM32, langage C, BLE nRF32, wifi TI CC3132)
Le candidat idéal sera également à l'aise avec le leadership technique, capable de challenger les choix de design tout en guidant l'équipe vers l'excellence technique. Une expérience en développement vidéo et streaming, ainsi qu'une compréhension des enjeux IoT et des technologies associées, sera un atout majeur.

Conditions :

Rémunération : 75 à 80k€ brut annuel + 2k€ de prime
Télétravail : 2 à 3 jours par semaine

Si vous êtes passionné(e) par l'IoT, les architectures backend complexes, et que vous souhaitez contribuer à des projets à fort impact dans un environnement technologique de pointe, ce poste est fait pour vous. Rejoignez-nous !",2025-04-15 17:11:46.173000+00:00,2025-04-15 17:11:46.609000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,7 An(s),{},{},{},{},{},{},"{'libelle': '75 - PARIS 13', 'latitude': None, 'longitude': None, 'codePostal': '75013', 'commune': '75113', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Annuel de 75000.0 Euros à 80000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",9.0,Cadre,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191FFFD,Développeur C# .Net (H/F),"Dans le cadre du développement de solutions innovantes pour le secteur de la recherche médicale, notre client recherche un développeur C# .NET expérimenté.

Vos missions principales seront :

Développer et maintenir des applications en C# .NET, en garantissant la qualité du code et la performance des solutions
Concevoir et intégrer des flux de données via BizTalk et SSIS
Gérer l'architecture Cloud des solutions (principalement Azure)
Collaborer avec les équipes techniques et métiers pour comprendre les besoins fonctionnels et y répondre efficacement
Participer à la rédaction des spécifications techniques et à la mise en place des tests
Assurer un suivi rigoureux des projets en respectant les délais et exigences

Le candidat idéal doit posséder un solide bagage technique et une expérience significative en développement C# .NET, ainsi qu'une expertise dans l'intégration de données et les environnements Cloud. Il doit être autonome, méthodique et capable de travailler en équipe dans un environnement dynamique.

Compétences et qualifications requises :

Expérience d'au moins 3 ans en développement C# .NET
Maîtrise de BizTalk et SSIS pour l'intégration de données
Bonne connaissance des environnements Cloud, idéalement Azure
Compétences en gestion des bases de données SQL
Autonomie, rigueur et sens de l'analyse
Capacité à travailler en équipe et à s'adapter à un environnement de travail collaboratif
Une expérience dans le domaine de la recherche médicale serait un plus
Pourquoi rejoindre notre client ?

-Travailler dans un environnement innovant et stimulant, au sein d'un laboratoire de recherche médicale reconnu
-Participer à des projets à fort impact dans le domaine de la santé
-Intégrer une équipe dynamique et collaborative
-Opportunités de développement et d'évolution professionnelle

Modalités :

Type de contrat : (CDI, Freelance)",2025-04-15 17:00:23.603000+00:00,2025-04-15 17:00:24.104000+00:00,M1805,Développeur / Développeuse informatique,Développeur / Développeuse informatique,CDI,CDI,Contrat travail,35H Travail en journée,Temps plein,False,1.0,E,3 An(s),{},{},{},{},{},{},"{'libelle': '92 - Gennevilliers', 'latitude': None, 'longitude': None, 'codePostal': '92230', 'commune': '92036', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",62.02A,62.0,Conseil en systèmes et logiciels informatiques,"{'libelle': 'Mensuel de 40000.0 Euros à 47000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",9.0,Cadre,"{'nom': None, 'coordonnees1': None, 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': None}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['35H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
191DVQJ,Analyste développeur / Analyste développeuse,"Poste
Notre client est une société spécialisée dans la Big Data et la Web factory.

Vous interviendrez sur des projets de digitalisation de la donnée à 360°. Intelligence artificielle, prédiction, data management, pilotage et autres features sont au coeur de vos activités. 

 Rattaché au directeur et chef de projet, vous réaliserez : 

Ecriture de code back (C#)
Environnement Windows et Linux
Utilisation des API tierces
Utilisation de message broker type RabbitMQ
Accès aux données (ADO.NET, Entity Framework, Dapper, .)
Création de services windows / linux
Ecriture des API (rest et gRPC)
Ecriture de code front (javascript/jquery/vue.js./html/css)
Ecriture des tests unitaires
Réalisation de tests intégrés
Propositions de solution techniques et évolution d'architecture
Intégration dans une équipe agile (daily meetings, revues techniques, etc.)
 

Quotidien de la fonction :

Participation au Daily meeting et autres cérémoniaux d'une équipe agile (scrum)
Développement des nouvelles fonctionnalités demandées en front et back
Utilisation d'outils tels que Visual Studio, VSCode, SQL Server, GitLab, Jira
Utilisation de .net Framework 6/7 (.net core)
Veille et recherche des solutions techniques / technologiques
Entraide avec les collègues développeurs et DevOps
Echanges éventuels avec l'équipe support client
Echanges avec la « Product owner »
Conditions du poste :

Contrat CDI
Salaire proposé : 40k - 50k selon profil
Programme santé Sports
Projets techniques passionnants
Formation continue
Evolution possible
Profil
De formation supérieur en information, Bac+3/+5, vous possédez au minimum 3 ans d'expérience professionnelle en développement .NET.

Vous êtes force de proposition, autonome, vous disposez de bonnes compétences relationnelles et avez la capacité à communiquer professionnellement.",2025-04-15 15:06:05.825000+00:00,2025-04-15 15:06:07.351000+00:00,M1805,Développeur / Développeuse informatique,Analyste développeur / Analyste développeuse,CDI,CDI,Contrat travail,37H Travail en journée,Temps plein,False,1.0,E,3 An(s),{},{},{},{},{},{},"{'libelle': '69 - LYON 03', 'latitude': None, 'longitude': None, 'codePostal': '69003', 'commune': '69383', 'pays': 'France', 'area': None}","{'nom': None, 'description': None, 'logo': None, 'url': None, 'siret': None}",70.22Z,70.0,Conseil pour les affaires et autres conseils de gestion,"{'libelle': 'Annuel de 40000.0 Euros à 50000.0 Euros sur 12.0 mois', 'commentaire': None, 'complement1': None, 'complement2': None, 'salaireMin': None, 'salaireMax': None, 'periode': None, 'devise': 'EUR', 'is_predicted': None}",8.0,Agent de maîtrise,"{'nom': None, 'coordonnees1': 'https://jobaffinity.fr/apply/pfr60s4ilg0rs2t689', 'coordonnees2': None, 'coordonnees3': None, 'telephone': None, 'courriel': None, 'commentaire': None, 'urlRecruteur': None, 'urlPostulation': HttpUrl('https://jobaffinity.fr/apply/pfr60s4ilg0rs2t689')}","{'telephone': None, 'courriel': None}",False,"{'urlOrigine': None, 'partenaire': 'France Travail', 'adref': None}","{'horaires': ['37H Travail en journée'], 'conditionsExercice': None}",2025-04-15 21:23:30,France Travail,,,
