,tag,label
0,accounting-finance-jobs,Emplois Comptabilité et Finance
1,it-jobs,Emplois Informatique
2,sales-jobs,Emplois Vente
3,customer-services-jobs,Emplois Services client
4,engineering-jobs,Emplois Ingénierie
5,hr-jobs,Emplois RH et Recrutement
6,healthcare-nursing-jobs,Emplois Soins de santé et infirmiers
7,hospitality-catering-jobs,Emplois Hospitalité et Restauration
8,pr-advertising-marketing-jobs,"Emplois RP, Publicité et Marketing"
9,logistics-warehouse-jobs,Emplois Distribution et Entrepôts
10,teaching-jobs,Emplois Enseignement
11,trade-construction-jobs,Emplois Industrie et Construction
12,admin-jobs,Emplois Administration
13,legal-jobs,Emplois Droit
14,creative-design-jobs,Emplois Création et Design
15,graduate-jobs,Emplois Diplômés
16,retail-jobs,Emplois Commerce détail
17,consultancy-jobs,Emplois Consultants
18,manufacturing-jobs,Emplois Fabrication
19,scientific-qa-jobs,Emplois Scientifiques et AQ
20,social-work-jobs,Emplois Travail social
21,travel-jobs,Emplois Voyages
22,energy-oil-gas-jobs,"Emplois Énergie, pétrole et gaz"
23,property-jobs,Emplois Immobilier
24,charity-voluntary-jobs,Emplois Caritatif et Volontariat
25,domestic-help-cleaning-jobs,Emploi Aide ménagère et Nettoyage
26,maintenance-jobs,Emplois Maintenance
27,part-time-jobs,Emplois Temps partiel
28,other-general-jobs,Emplois Autres/Général
29,unknown,Unknown
