,code,libelle
0,10438,Agent / Agente de destruction d'insectes
1,10439,Agent / Agente de développement d'habitat social
2,10441,Agent / Agente de développement local
3,10442,Agent / Agente de développement rural
4,10444,Agent / Agente de diagnostic et d'intervention en machinisme agricole
5,10446,Agent / Agente de fabrication de l'industrie du béton
6,10447,Agent / Agente de fabrication de matériels électriques et électroniques
7,10448,Agent / Agente de fabrication de production alimentaire
8,10449,Agent / Agente de fabrication des industries de l'habillement et autres fabrications à base d'étoffes
9,10450,Agent / Agente de fabrication en fonderie de moulage en sable
10,10451,Agent / Agente de fabrication en montage-assemblage mécanique
11,10452,Agent / Agente de fabrication en production-transformation du verre
12,10453,Agent de fabrication polyvalent / Agente de fabrication polyvalente en industrie
13,10454,Agent de fabrication-deviseur / Agente de fabrication-deviseuse en industrie graphique
14,10456,Agent / Agente de finissage couleurs et effets cuirs et peaux
15,10457,Agent / Agente de finition cuirs et peaux
16,10459,Agent / Agente de formalités funéraires
17,10460,Agent / Agente de fret aérien
18,10463,Agent / Agente de gestion comptable
19,10465,Agent / Agente de handling
20,10466,Agent / Agente de la surveillance spécialisée de la commune
21,10468,Agent / Agente de laboratoire de recherche industrielle
22,10469,Agent / Agente de laboratoire en métallurgie
23,10471,Agent / Agente de lancement-planification en industrie
24,10474,Agent / Agente de liaison interne
25,10476,Agent / Agente de location immobilière
26,10477,Agent / Agente de logistique nucléaire
27,10479,Agent / Agente de magasinage
28,10480,Agent / Agente de maintenance automaticien-automaticienne
29,10482,Agent / Agente de maintenance d'ascenseurs
30,10483,Agent / Agente de maintenance de distributeurs automatiques
31,10485,Agent / Agente de maintenance de matériels de manutention
32,10486,Agent / Agente de maintenance de matériels de reprographie
33,10488,Agent / Agente de maintenance de remontées mécaniques
34,10490,Agent / Agente de maintenance en bureautique
35,10491,Agent / Agente de maintenance en climatisation
36,10493,Agent / Agente de maintenance en électricité et automatisme industriel
37,10494,Agent / Agente de maintenance en électronique
38,10496,Agent / Agente de maintenance en génie climatique
39,10497,Agent / Agente de maintenance en informatique
40,10499,Agent / Agente de maintenance en monétique
41,10501,Agent / Agente de maintenance industrielle
42,10502,Agent / Agente de maintenance (SAV) de distributeurs automatiques
43,10503,Agent / Agente de maintenance sur systèmes automatisés
44,10505,Agent / Agente de maintenance sur télécopieurs
45,10506,Agent / Agente de maîtrise d'atelier de maintenance industrielle
46,10508,Agent / Agente de maîtrise de fabrication de matériels électroniques
47,10510,Agent / Agente de maîtrise de maintenance industrielle
48,10512,Agent / Agente de maîtrise de scierie
49,10513,Agent / Agente de maîtrise d'entretien en électromécanique
50,10606,Agent / Agente de service sécurité
51,10607,Agent / Agente de servitude nucléaire
52,10609,Agent / Agente de sportif
53,10610,Agent / Agente de stationnement de la voirie
54,10200,Abatteur / Abatteuse de carrière
55,10201,Accastilleur-gréeur / Accastilleuse-gréeuse
56,10202,Accastilleur-monteur / Accastilleuse-monteuse électronique de marine
57,10203,Accessoiriste
58,10204,Accessoiriste de plateau
59,10205,Accessoiriste en effets spéciaux
60,10206,Accompagnateur / Accompagnatrice de randonnée
61,10207,Accompagnateur / Accompagnatrice de randonnée nature
62,10208,Accompagnateur / Accompagnatrice de séjour linguistique
63,10209,Accompagnateur / Accompagnatrice de tourisme équestre
64,10210,Accompagnateur / Accompagnatrice de tourisme sportif
65,10212,"Accompagnateur / Accompagnatrice de voyages ou d'activités culturelles, sportives et de plein air"
66,10213,Accompagnateur / Accompagnatrice d'enfants ou d'adolescents
67,10214,Accompagnateur / Accompagnatrice d'excursions
68,10215,Accompagnateur / Accompagnatrice en écotourisme
69,10216,Accompagnateur / Accompagnatrice en moyenne montagne
70,10217,Accompagnateur / Accompagnatrice en tourisme vert
71,10219,Accompagnateur médicosocial / Accompagnatrice médicosociale
72,10220,Accompagnateur médicosocial / Accompagnatrice médicosociale d'activités de la vie journalière
73,10222,Accompagnateur médicosocial / Accompagnatrice médicosociale de personnes en post-cure
74,10226,Accompagnateur / Accompagnatrice technique d'insertion professionnelle
75,10227,Accompagnateur / Accompagnatrice tourisme
76,10229,Acconier / Acconière de l'armée
77,10230,Accordeur / Accordeuse de pianos
78,10232,Accouveur / Accouveuse
79,10233,Accrocheur / Accrocheuse
80,10234,Accrocheur / Accrocheuse de wagons du réseau ferré
81,10235,Accrocheur / Accrocheuse en abattoir
82,10237,Accueillant familial / Accueillante familiale auprès d'adultes
83,10239,Accueillant familial / Accueillante familiale thérapeutique auprès d'adultes
84,10240,Accueillant familial / Accueillante familiale thérapeutique auprès d'enfants
85,10241,Acheteur / Acheteuse
86,10243,Acheteur / Acheteuse de commerce
87,10244,Acheteur / Acheteuse de produits de distribution
88,10246,Acheteur / Acheteuse d'espaces cinéma
89,10247,Acheteur / Acheteuse d'espaces Internet
90,10249,Acheteur / Acheteuse d'espaces presse
91,10250,Acheteur / Acheteuse d'espaces publicitaires
92,10252,Acheteur / Acheteuse d'espaces télévision
93,10253,Acheteur / Acheteuse import
94,10255,Acheteur international / Acheteuse internationale
95,10256,Acheteur / Acheteuse junior
96,10258,Acheteur / Acheteuse public
97,10260,Acousticien / Acousticienne BTP
98,10261,"Acousticien / Acousticienne en études, recherche et développement"
99,10263,Acteur / Actrice
100,10264,Acteur / Actrice de complément
101,10266,Actuaire
102,10267,Adaptateur-traducteur / Adaptatrice-traductrice
103,10269,Adjoint / Adjointe au chef de rayon produits alimentaires
104,10271,Adjoint / Adjointe à la direction administrative et financière
105,10274,Adjoint / Adjointe à la direction mercatique
106,10275,Adjoint / Adjointe au responsable d'auto-école
107,10277,Adjoint / Adjointe au responsable de laboratoire de contrôle en industrie
108,10278,Adjoint / Adjointe au responsable de l'administration des ventes
109,10279,Adjoint / Adjointe au responsable de rayon produits alimentaires
110,10281,Adjoint / Adjointe au responsable du personnel
111,10282,Adjoint / Adjointe au responsable du service formation en entreprise
112,10283,Adjoint / Adjointe chef d'atelier de fabrication en industrie du bois
113,10284,Adjoint / Adjointe chef d'atelier de scierie
114,10285,Adjoint / Adjointe chef de caisses
