,code,libelle,codePostal,codeDepartement
0,21489,POISEUL LA GRANGE,21440,21
1,21704,VILLIERS LE DUC,21400,21
2,55221,GUERPONT,55000,55
3,79106,COUTURE D ARGENSON,79110,79
4,67378,PLOBSHEIM,67115,67
5,80628,LE PLESSIER ROZAINVILLERS,80110,80
6,19019,BEAULIEU SUR DORDOGNE,19120,19
7,52541,VITRY LES NOGENT,52800,52
8,15149,PAULHENC,15230,15
9,68078,EGUISHEIM,68420,68
10,21180,CLERY,21270,21
11,77188,FONTAINE LE PORT,77590,77
12,51069,BLIGNY,51170,51
13,28058,BRECHAMPS,28210,28
14,51402,NEUVY,51310,51
15,52006,ALLICHAMPS,52130,52
16,62478,JOURNY,62850,62
17,22278,ST BRIEUC,22000,22
18,08335,OMONT,08430,08
19,24373,ST AUBIN DE CADELECH,24500,24
20,07261,ST LAURENT DU PAPE,07800,07
21,76557,ST ARNOULT,76490,76
22,43071,CHOMELIX,43500,43
23,32221,LUSSAN,32270,32
24,02555,NOGENT L ARTAUD,02310,02
25,68323,STEINBRUNN LE BAS,68440,68
26,60281,GOURNAY SUR ARONDE,60190,60
27,68243,OBERLARG,68480,68
28,19056,CLERGOUX,19320,19
29,70412,PLAINEMONT,70800,70
30,21544,STE COLOMBE EN AUXOIS,21350,21
31,64097,BARZUN,64530,64
32,91687,VIRY CHATILLON,91170,91
33,10434,VILLY LE BOIS,10800,10
34,45037,BOISSEAUX,45480,45
35,30327,THARAUX,30430,30
36,62600,NEDON,62550,62
37,50484,ST HILAIRE DU HARCOUET,50600,50
38,74315,YVOIRE,74140,74
39,14205,CRISTOT,14250,14
40,34341,VILLEVEYRAC,34560,34
41,63248,NEBOUZAT,63210,63
42,04210,SOLEILHAS,04120,04
43,38522,VALJOUFFREY,38740,38
44,28177,GELLAINVILLE,28630,28
45,80695,SAILLY SAILLISEL,80360,80
46,71203,FONTENAY,71120,71
47,31224,GOURDAN POLIGNAN,31210,31
48,79202,PARTHENAY,79200,79
49,32450,TOURDUN,32230,32
50,64109,BENEJACQ,64800,64
51,41062,COUDDES,41700,41
52,60051,BEAUDEDUIT,60210,60
53,73054,BOURG ST MAURICE,73700,73
