,code,libelle
0,A11,Engins agricoles et forestiers
1,A12,Espaces naturels et espaces verts
2,A13,Etudes et assistance technique
3,A14,Production
4,A15,Soins aux animaux
5,B11,Arts plastiques
6,B12,Céramique
7,B13,Décoration
8,B14,Fibres et papier
9,B15,Instruments de musique
10,B16,"Métal, verre, bijouterie et horlogerie"
11,B17,Taxidermie
12,B18,Tissu et cuirs
13,C11,Assurance
14,C12,Banque
15,C13,Finance
16,C14,Gestion administrative banque et assurances
17,C15,Immobilier
18,D11,Commerce alimentaire et métiers de bouche
19,D12,Commerce non alimentaire et de prestations de confort
20,D13,Direction de magasin de détail
21,D14,Force de vente
22,D15,Grande distribution
23,E11,Edition et communication
24,E12,Images et sons
25,E13,Industries graphiques
26,E14,Publicité
27,F11,Conception et études
28,F12,Conduite et encadrement de chantier - travaux
29,F13,Engins de chantier
30,F14,Extraction
31,F15,Montage de structures
32,F16,Second oeuvre
33,F17,Travaux et gros oeuvre
34,G11,Accueil et promotion touristique
35,G12,Animation d'activités de loisirs
36,G13,"Conception, commercialisation et vente de produits touristiques"
37,G14,Gestion et direction
38,G15,Personnel d'étage en hôtellerie
39,G16,Production culinaire
40,G17,Accueil en hôtellerie
41,G18,Service
42,H11,Affaires et support technique client
43,H12,"Conception, recherche, études et développement"
44,H13,Hygiène Sécurité Environnement -HSE- industriels
45,H14,Méthodes et gestion industrielles
46,H15,Qualité et analyses industrielles
47,H21,Alimentaire
48,H22,Bois
49,H23,Chimie et pharmacie
50,H24,Cuir et textile
51,H25,"Direction, encadrement et pilotage de fabrication et production industrielles"
52,H26,Electronique et électricité
53,H27,Energie
54,H28,"Matériaux de construction, céramique et verre"
55,H29,"Mécanique, travail des métaux et outillage"
56,H31,Papier et carton
57,H32,"Plastique, caoutchouc"
58,H33,Préparation et conditionnement
59,H34,Traitements thermiques et traitements de surfaces
60,I11,Encadrement
61,I12,Entretien technique
62,I13,"Equipements de production, équipements collectifs"
63,I14,Equipements domestiques et informatique
64,I15,Travaux d'accès difficile
65,I16,"Véhicules, engins, aéronefs"
66,J11,Praticiens médicaux
67,J12,Praticiens médico-techniques
68,J13,Professionnels médico-techniques
69,J14,Rééducation et appareillage
70,J15,Soins paramédicaux
71,K11,Accompagnement de la personne
72,K12,"Action sociale, socio-éducative et socio-culturelle"
73,K13,Aide à la vie quotidienne
74,K14,Conception et mise en oeuvre des politiques publiques
75,K15,Contrôle public
76,K16,Culture et gestion documentaire
77,K17,"Défense, sécurité publique et secours"
78,K18,Développement territorial et emploi
79,K19,Droit
80,K21,Formation initiale et continue
81,K22,Nettoyage et propreté industriels
82,K23,Propreté et environnement urbain
83,K24,Recherche
84,K25,Sécurité privée
85,K26,Services funéraires
86,L11,Animation de spectacles
87,L12,Artistes - interprètes du spectacle
88,L13,Conception et production de spectacles
89,L14,Sport professionnel
90,L15,Techniciens du spectacle
91,M11,Achats
92,M12,Comptabilité et gestion
93,M13,Direction d'entreprise
94,M14,Organisation et études
95,M15,Ressources humaines
96,M16,Secrétariat et assistance
97,M17,"Stratégie commerciale, marketing et supervision des ventes"
98,M18,Systèmes d'information et de télécommunication
99,N11,"Magasinage, manutention des charges et déménagement"
100,N12,Organisation de la circulation des marchandises
101,N13,Personnel d'encadrement de la logistique
102,N21,Personnel navigant du transport aérien
103,N22,Personnel sédentaire du transport aérien
104,N31,Personnel navigant du transport maritime et fluvial
105,N32,Personnel sédentaire du transport maritime et fluvial
106,N41,Personnel de conduite du transport routier
107,N42,Personnel d'encadrement du transport routier
108,N43,Personnel navigant du transport terrestre
109,N44,Personnel sédentaire du transport ferroviaire et réseau filo guidé
