"id","source","title","description","company_name","location_name","latitude","longitude","date_created","date_updated","contract_type","contract_duration","working_hours","salary_min","salary_max","salary_currency","salary_period","experience_required","category","sector","application_url","source_url","skills","remote_work","is_handicap_accessible"
"5404029","france_travail","Responsable data H/F","Créé en 2006, le groupe Santiane est un courtier spécialisé dans la conception et la distribution de produits d'assurance santé et prévoyance auprès des particuliers. Véritable pionnier de la distribution d'assurances sur internet, notre groupe est devenu en quelques années le leader du conseil en assurance santé en France.  Nous distribuons nos propres produits en marque blanche ainsi que les produits de nos partenaires via 2 réseaux : en ligne sur notre comparateur santiane.fr (BtoC) et auprès d'un réseau de courtiers répartis sur l'ensemble du territoire (BtoB).  Notre ambition est de proposer à nos clients des offres sur-mesure adaptées à leurs besoins. Aujourd'hui, nous recherchons des talents pour rejoindre nos équipes et partager nos objectifs.   Directement rattaché au Directeur administratif et financier et au DGA finance et data, vous serez en charge de reprendre la responsabilité d'une équipe data existante, composée de deux personnes (un data Engineer et un data Scientist), et de reprendre à votre compte l'intégralité du périmètre data du groupe.   Les principales activités seront : -         Finaliser la migration débutée l'année dernière du DWH (de SAS à Dataiku DSS) -         Finir les travaux de structuration commune de la donnée des différentes entités du groupe (dont 2 qui ont été intégrées récemment avec des lignes de business différentes) -         Veiller au déploiement de l'outil Tableau et à sa correcte utilisation par les différentes BU (centralisation des besoins métiers et démocratisation de l'accès à la donnée) -         Reconstruire un environnement BI commun à destination de toutes les BU (avec l'aide du contrôle de gestion) -         Aider à la mise en production des différents projets d'automatisation & de modélisation (et remettre à jour / entretenir les projets existants) -         Être garant du respect des règles de gestion des données et des principaux KPIs de l'entreprise Cette liste est non exhaustive.   Prérequis : Diplôme de niveau Bac +5, type : -         Master en data management, statistiques, data science ou big data -         Master en management, marketing, gestion -         Diplôme d'école d'ingénieurs avec une spécialisation en data management, statistiques, data science, ou big data Avec au moins 4 ans d'expérience dans le domaine de la data ou dans la gestion de projets transverses, et, idéalement, une première expérience de management. Une expérience au sein d'une Data Agency conférant une habitude à délivrer peut être un plus.   Compétences techniques : -         Maîtrise des outils d'analyse de données : doit être à l'aise avec des outils comme Python, R, SQL, SAS, ainsi que des logiciels de visualisation tels que Tableau ou SAS Viya. -         Expertise en systèmes d'information et gestion des données : une connaissance des infrastructures informatiques et des bases de données est essentielle. -         Compétences en data science et big data : une expérience en modélisation prédictive, en algorithmes de machine learning, et en gestion de grandes quantités de données serait appréciée. -         Gestion de projets et management d'équipes : avoir la capacité de piloter des projets complexes tout en coordonnant les différentes équipes impliquées ; un profil « bilingue » technico-fonctionnel, qui saura faire le relais entre les métiers (finance, DSI, commercial.) et la data   Compétences comportementales : -         Leadership et gestion d'équipe : être capable de diriger et d'inspirer des équipes multidisciplinaires, en assurant une communication fluide et une collaboration optimale. -         Esprit d'analyse et rigueur : capacité indispensable à analyser de grandes quantités de données et à en extraire des insights pertinents. -         Communication claire et pédagogique : être en mesure de simplifier des concepts complexes et de les transmettre de manière claire et compréhensible à l'ensemble des départements et à la direction. -         Prise de décision stratégique : être apte à prendre des décisions clés basées sur l'analyse des données.   Rémunération et avantages Rémunération : -         Rémunération : entre 65k et 75k€ selon profil -         Prime de participation -         Prime d'ancienneté   Avantages : -         Possibilité de faire du télétravail -         Tickets restaurant d'une valeur de 11 euros pris en charge à 59% par l'employeur -         Mutuelle de groupe (formule de base offerte pour l","","75 - PARIS 15","48.84162","2.295289","","","CDI","Contrat à durée indéterminée","","","","EUR","","Expérience exigée","Ingénieur concepteur / Ingénieure conceptrice informatique","","","https://candidat.francetravail.fr/offres/recherche/detail/5404029","","","False"
"191HMDS","france_travail","Ingénieur mise en production et exploitation de données (H/F)","Le pôle Terre Solide de l'Infrastructure de Recherche Data Terra souhaite développer son équipe technique. Le recrutement vise à (i) soutenir l'activité autour des services à la donnée existants et (ii) développer de nouveaux services. Un profil DevOps, volontairement large est ici affiché, mais les missions effectivement confiées au candidat seront adaptées en fonction de ses compétences.  Le/la candidat/candidate assurera ou participera, dans le cadre du pôle de données et de services FormaTerre de l'Infrastructure de Recherche Data Terra (www.data-terra.org) aux missions suivantes :  - soutien à l'exploitation des services existants : maintien en conditions opérationnelles des services existants (services de calcul avec interface utilisateur web, services de découverte des données..), mise en place de solutions assurant la redondance des ressources.  - accompagnement du développement et du déploiement de nouveaux services : standar-disation/homogénéisation des briques de base des services existants en vue de leur réuti-lisation dans de nouveaux services, intégration de nouveaux services en relation avec les équipes scientifiques partenaires, intégration d'APIs existantes de recherche et d'accès à des données et services élémentaires offerts par les fournisseurs de données du pôle.  - administration des machines virtuelles et des outils utilisés pour les services du pôle  - suivi des statistiques d'utilisation des services : mise en place d'outils (déploiement des outils, administration, exploitation, développement) pour le suivi des statistiques d'utilisation des différents services aux données du pôle.  - support utilisateur : mise en place d'outils de gestion du support utilisateur, soutien à la gestion des droits et de la base d'identification SSO.  - soutien à la documentation : rédaction de fiches de documentation des services et des produits générés par les services, alimentation de la base de métadonnée du pôle Forma-Terre (DOI)  Description des Compétences Parmi les compétences recherchées : Savoirs :  - administration système et réseau - maîtrise des outils de développement collaboratif - déploiement et configuration d'applications - connaissance des API Rest et des outils respectant les standards utilisés (OpenSearch, STAC, MapServer, Geoserver, GeoNetwork, Elasticsearch, DCAT) - maîtrise de la gestion et de l'administration de bases de données - maîtrise d'un langage de programmation : python, PhP, autre  Savoir-faire et savoir-être :  - Savoir organiser son propre travail pour contribuer en parallèle à plusieurs projets - Posséder de bonnes capacités rédactionnelles pour des rapports et documents techniques. - Savoir travailler en équipe, en réseau. - Savoir anticiper les évolutions fonctionnelles et techniques. - Avoir des connaissances générales en anglais technique. - Posséder de bonnes capacités organisationnelles, autonomie et force de proposition.  Poste situé à Paris 5ème.","CNRS MOY1601 PRESIDENCE","75 - PARIS 16","48.856305","2.267032","","","CDD","CDD - 6 Mois","Temps plein","2540.99","2540.99","EUR","mensuel","Débutant accepté","Data engineer","Recherche-développement en autres sciences physiques et naturelles","","https://candidat.francetravail.fr/offres/recherche/detail/191HMDS","Analyser, exploiter, structurer des données; Concevoir et gérer un projet","","False"
"191DTXN","france_travail","DATA SCIENTIST - DEVELOPPEMENT DATA SCIENCE (H/F)","VOTRE ENVIRONNEMENT DE TRAVAIL  Rattaché(e) à la Direction Stratégie Digitale & Data, vous rejoignez le département Data & IA qui a pour mission de produire et délivrer des produits Data au sein des processus Métiers afin de les optimiser, mais aussi d'améliorer la connaissance de nos clients en développant des outils d'aide à la décision pour les Directions métiers.  Dans ce contexte, nous recherchons notre futur(e) Data Scientist en alternance. Vous intégrerez une équipe soudée qui travaille en Mode Agile, au sein d'une direction qui place l'innovation et la Data au cœur de sa stratégie, en proximité avec les diverses Directions Métiers.  VOS MISSIONS  Dans le cadre de notre plan data 2025/2026, de nombreuses initiatives exploitant des données non- structurées sont attendues afin d'accroitre les performances commerciales et opérationnelles :  Vous contribuerez à la réalisation de prototypes de solution d'IA, notamment dans les domaines suivants :  - Traitement automatique du langage (NLP) et en exploitant les LLMs ; - Exploitation de données conversationnelles via des techniques de Speech-to-Text (STT). - En tant que DATA Scientist vous réaliserez les étapes suivantes :  - Comprendre le besoin et échanger avec nos commerciaux et responsables produits ; - Réaliser un état de l'art sur les différentes solutions envisageables pour notre projet ; - Implémenter et tester les différentes techniques et sélectionner les méthodes opérationnalisables ; - Appliquer la solution optimale en garantissant sa robustesse et son efficacité ; - Rédiger les notes d'expérimentation, des rapports et des présentations ; - Contribuer à la montée en compétence collective sur les sujets NLP et LLM en réalisant une veille technologique (articles scientifiques, conférences, meetups) et en partageant les découvertes avec l'équipe lors des sessions d'iAcademy.  Environnement technologique : Solution Cloud : AWS Infrastructures : Datalake / Snowflake Outils utilisés : Notebook Jupyter / AWS Sagemaker, Streamlit / Git Langage : Python  CE QUE VOUS POUVEZ ATTENDRE DE NOUS  Une intégration au sein d'une équipe à taille humaine vous permettant de bénéficier d'une vraie latitude d'actions ; Un réel encadrement pour progresser et se développer avec les formations adéquates si besoin ; Une intégration au sein de la communauté alternants/stagiaires pour participer à des événements (groupes de discussions, déjeuners.); Un cadre de travail propice à l'épanouissement professionnel et personnel (locaux entièrement refaits à neuf, un programme bien-être au travail, capacité à participer à des actions solidaires au travers de notre fondation, etc.).  VOS ATOUTS POUR REUSSIR  Formation :   Vous suivez une formation Bac+ 5 de type Master 2 (Ecole d'ingénieur ou universitaire).  Vous et le monde du travail :   Vous avez idéalement une première expérience professionnelle au cours de laquelle vous avez fait preuve d'autonomie et de prise d'initiative. Vous avez le sens du service et aimez améliorer la qualité de ce que vous proposez.   Dans votre boîte à outils :  Passionné(e) par la Data Science, vous maîtrisez Python ainsi que les bases de données SQL et NoSQL. Vous avez une forte appétence pour les techniques de Deep Learning/ Machine Learning /IA génératives et en particulier le traitement automatique de l'image et du langage.  La connaissance de Sagemaker (Technologies Cloud AWS) ou d'un outil similaire serait un plus.  Dynamique et curieux(euse), vous aimez entreprendre et étudier des sujets innovants où il faut expérimenter pour réussir.  Méthodique et motivé(e), vous êtes rigoureux, organisé dans votre travail et apte à travailler dans un environnement exigeant.","CNP ASSURANCES PROTECTION SOCIALE","75 - PARIS 13","48.830193","2.365001","","","CDD","CDD - 12 Mois","Temps plein","1200.0","1800.0","EUR","mensuel","Débutant accepté","Data scientist","Autres assurances","https://lmg.wd3.myworkdayjobs.com/fr-FR/CNPPS/job/PARIS/ASSISTANT-COMMUNICATION-DIGITALE---F-H--ALTERNANCE_JR00006875","https://candidat.francetravail.fr/offres/recherche/detail/191DTXN","Adapter les outils de traitement statistique de données; Conduire des travaux d'études et de recherche; Définir et faire évoluer des procédés de traitement de l'information","","False"
"4918359","france_travail","DATA Ingénieur(e) SAS - 202504 H/F","ESN à taille humaine, spécialisée dans la gestion et l'analyse des données pour transformer les entreprises. Basée à Paris, notre équipe dynamique s'engage à repousser les limites de l'analyse de données grâce à des solutions avancées et des outils de pointe. Avantages :  * RTT  * Tickets restaurants  * Mutuelle  * Plan d'épargne entreprise  * Chèques cadeaux   Pourquoi rejoindre notre équipe ? ?  * Tu as une passion pour la DATA et désires collaborer avec des techniciens experts ayant une véritable maîtrise de leur domaine.  * Nous intervenons depuis  dans la DATA et notre passion n'a jamais diminué.  * Chez nous, c'est la technicité qui prime : tu seras entouré(e) d'experts qui parlent ton langage.  * Tu veux faire partie d'une aventure et participer à l'innovation interne  * Tu ne veux pas être un maillon dans organisation complexe, tu veux être acteur d'une structure à taille humaine   Responsabilités :  * Partir d'une maitrise de  SAS pour comprendre, rationnaliser et moderniser les applications existantes. C'est là que tu fais la différence!  * Collaborer avec des équipes dynamiques pour concevoir des solutions DATA innovantes.  * 2-3 ans d'expérience avec SAS. Une expérience plus longue est un atout!  * (option) Compétences en Python, SQL, et Spark  * Diplôme BAC+5,  * Capacité à travailler de manière autonome et un engagement fort lié à la taille de notre structure.","","75 - PARIS 04","48.854042","2.356841","","","CDI","Contrat à durée indéterminée","","35000.0","40000.0","EUR","annuel","Expérience exigée","Ingénieur / Ingénieure de recherche scientifique","","","https://candidat.francetravail.fr/offres/recherche/detail/4918359","","","False"
"4382787","france_travail","INGÉNIEUR CŒUR DE RÉSEAU DATA - PARIS - H/F","Description :   Nous cherchons a renforcer notre équipe Coeur de Réseaux Data. Vous serez amené.e à prendre la responsabilité sur la gestion technique du cœur de réseau et contribuer à l'automatisation de nos outils. Vous interviendrez sur tous les projets à l'échelle internationale, le Groupe Iliad étant présent en France Métropolitaine, mais aussi aux Caraïbes, à la Réunion, en Italie MISSIONS : En tant qu'Ingénieur Cœur de Réseau Senior, vous serez en charge de l'optimisation, de la maintenance et du déploiement des infrastructures réseau au sein de Free. Vous interviendrez sur des technologies de pointe telles que la 3G, 4G et 5G, et jouerez un rôle clé dans la mise en œuvre de la 5G SA. VOS MISSIONS PRINCIPALES SERONT :  * Maintien et optimisation des réseaux 3G, 4G et 5G.  * Participation active à l'installation et au déploiement de la 5G SA (Stand-Alone).  * Maintenance et remplacement des équipements réseaux (MME, SGW, PGW, AMF, SMF, UPF...)..  * Gestion des mises à jour et dimensionnement des infrastructures en fonction des besoins.  * Exploitation des données et statistiques pour moderniser les outils (tableaux de bord, reporting).  * Rotation d'astreintes : 1 fois par mois, avec un travail de nuit rare.  * Collaboration et interactions avec les équipes internes (Team Transport IP).        Profil recherché :       Nous recherchons un ingénieur cœur de réseau avec 7 à 10 ans d'expérience dans l'ingénierie télécom sur le domaine des plateformes Cœur de réseaux.  COMPÉTENCES TECHNIQUES :  * TÉLÉCOMS : Expertise en cœur de réseau, avec une maîtrise de Wireshark et de l'analyse de traces réseau.  * DÉVELOPPEMENT : Compétences en Python, Go, Linux et scripting pour l'automatisation et la remontée d'alarmes.  * ANGLAIS TECHNIQUE : Un bon niveau d'anglais technique est essentiel pour les échanges avec les équipes internationales et la gestion des documentations techniques. SOFT SKILLS :  * Rigueur, autonomie et sens de l'organisation.  * Gestion du stress et maturité dans les prises de décision.  * Capacité à travailler en équipe tout en étant autonome. PROCESSUS ET TIMING :  * ENTRETIEN DE RECRUTEMENT : Un entretien de 30 minutes avec Victor ou Anna, nos recruteurs.  * TEST TECHNIQUE : Test pratique d'une durée d'une heure sur Wireshark, en présence du Manager et d'un expert technique pour évaluer vos compétences.","Iliad","75 - PARIS 08","2.31765","48.877479","","","CDI","Contrat à durée indéterminée","","","","EUR","","Débutant accepté","Ingénieur / Ingénieure télécoms","Télécommunications filaires","","https://candidat.francetravail.fr/offres/recherche/detail/4382787","","","False"
"4220336","france_travail","INGENIEUR DATA BI EXPERIMENTE (H/F)","PROPULSE IT accompagne ses clients grands comptes et PME dans la mise en œuvre des projets It et digitaux.  PROPULSE IT est un réseau de consultants à forte valeurs ajoutées, complètement associé à notre démarche qualité de suivi des besoins et projets de nos clients. A ce jour, le réseau de freelance PROPULSE IT comporte plus de 30 000 consultants sur toute la France, et couvre l'ensemble des besoins IT et digitaux. En constituant ce réseau par cooptation de clients ou de consultants, nous avons privilégié la constance dans le savoir-faire technique et le savoir-être, pour devenir un véritable partenaire privilégié de nos clients. Parallèlement, nous avons développé un réseau de partenaires sélectionnés pour leur expertise technique, et l'adhésion aux valeurs de notre entreprise. Aujourd'hui PROPULSE IT est une société en pleine croissance organique, Champion de la Croissance du journal Les Echos 5 années consécutives.  Ce développement s'appuie sur la qualité et la pérennité des missions réalisées.  La satisfaction client est ainsi liée à l'épanouissement des consultants ! Alors, n'hésitez pas à postuler ! Le poste :   Nous recherchons un(e) ingénieur Data BI expérimenté Contexte Au sein d'une Data Factory nous recherchons à renforcer notre équipe avec un Data Engineer expérimenté, une expérience dans le secteur du e-commerce serait apprécié. La Data Factory de notre client joue un rôle central dans l'exploitation et l'optimisation des données pour soutenir les différentes initiatives stratégiques de l'entreprise. Elle se concentre sur la création d'une infrastructure de données robuste, la mise en place de pipelines de données fiables, et l'exploitation de données pour générer des insights à forte valeur ajoutée pour les équipes. Description - Participe à l'analyse du besoin avec la supervision du binôme PO/TechLead et à la conception du modèle de données permettant de répondre aux enjeux. - Utilise l'analyse des données pour fournir des éléments significatifs et éclairer la conception/mise en œuvre des projets - Conçois, développe et maintien les pipelines de données pour l'acquisition, la transformation, le stockage et la mise à disposition des données. - Optimise les performances des développements pour assurer une disponibilité et une fiabilité maximale - Identifie et résout les goulots d'étranglement et les problèmes de performances dans les flux de données - Met en place des processus et des contrôles pour garantir la qualité des données - Conçoit et met en œuvre des systèmes d'alerte, de monitoring et de reprise automatique efficaces. - Réalise la recette technique et participe à animer la recette fonctionnelle avec les utilisateurs et le PO - Rédaction des documents associés au projet (Spécifications Techniques, Cahier de recette Technique, Document d'exploitation) - Être force de proposition sur l'amélioration de la stack Data - Faire le reporting d'avancement des travaux - Support au déploiement - Assure la maintenance corrective ou évolutive - S'assure de la cohérence des livrables avec les règles et bonnes pratiques définies au sein de l'équipe Livrables Spécifications Techniques, Cahier de recette Technique, Document d'exploitation Reporting d'avancement des travaux Programme développés  Profil recherché :   SAVOIR ETRE : - Rigueur - Autonomie - Une bonne capacité relationnelle et rédactionnelle est indispensable - Capacité à travailler efficacement en équipe et à communiquer clairement avec des collègues techniques et non techniques - Capacité à résoudre des problèmes complexes de manière efficace et à respecter les délais - Compréhension de l'environnement, des besoins et des contraintes des utilisateurs. - Intérêt pour les nouvelles technologies. - Imagination TECHNIQUE : SQL : expérimenté ETL Talend : expérimenté Teradata : expérimenté Apache Sqoop : confirmé GCP : confirmé BigQuery : expérimenté DataForm : confirmé Shell unix (.sh .ksh) : confirmé Spark : confirmé Langage de programmation parmi Python, Scala et Java : confirmé ElasticSearch : confirmé","PROPULSE IT","75 - PARIS 01","48.859","2.347","","","Profession libérale","","","","","EUR","","Expérience exigée","Assistant / Assistante administration des ventes","","","https://candidat.francetravail.fr/offres/recherche/detail/4220336","","","False"
"189ZFGY","france_travail","Ingénieur Machine Learning (H/F)","Vous contribuerez au développement et à l'optimisation de modèles de Machine Learning et Deep Learning pour des applications innovantes.  Vos missions :  Concevoir et entraîner des modèles de Machine Learning et Deep Learning.  Améliorer les performances des modèles existants en optimisant les hyperparamètres.  Mettre en place des pipelines de traitement de données pour assurer la scalabilité des modèles.  Tester et déployer des solutions d'IA dans un environnement cloud.  Collaborer avec des équipes multidisciplinaires pour répondre aux besoins des projets.  Profil recherché : Vous suivez une formation Bac+4/5 en Intelligence Artificielle, Informatique ou Mathématiques appliquées. Vous maîtrisez Python, TensorFlow, PyTorch et avez des connaissances en développement logiciel et en cloud computing (AWS, GCP, Azure).","FRANCK","75 - PARIS 04","48.854042","2.356841","","","CDD","CDD - 12 Mois","Temps plein","487.0","775.0","EUR","mensuel","Débutant accepté","Data engineer","Autres enseignements","","https://candidat.francetravail.fr/offres/recherche/detail/189ZFGY","Concevoir et gérer un projet","","False"
"189YGJZ","france_travail","GEN AI Ingénieur (H/F)","Wealthy Technology est une startup deeptech qui révolutionne l'industrie pharmaceutique en accélérant le développement de médicaments grâce à l'IA. Nous automatisons la création de documents réglementaires complexes et facilitons l'analyse des données grâce à des modèles d'intelligence artificielle de pointe. Dans le cadre de notre croissance et de nos projets innovants, nous recherchons un(e) Data Scientist Confirmé(e) spécialisé(e) en Gen AI pour rejoindre notre équipe.  Missions  Concevoir, développer et déployer des modèles d'IA générative appliqués à la génération automatique de documents réglementaires. Améliorer la qualité, la précision et l'interprétabilité des modèles de NLP et de LLM. Travailler en collaboration avec nos experts réglementaires pour optimiser l'utilisation des technologies d'IA. Concevoir et expérimenter des architectures de modèles adaptées à des contextes spécifiques du secteur pharmaceutique. Participer à l'industrialisation des solutions IA dans un environnement cloud (Azure, AWS). Veille technologique et expérimentation continue des dernières avancées en Gen AI.  Profil recherché  Diplômé(e) d'un Master ou d'un Doctorat en Intelligence Artificielle, Machine Learning, Data Science ou domaine connexe. Minimum 3 ans d'expérience en Data Science avec une expertise en IA générative et NLP. Excellente maîtrise des modèles de type LLM (GPT, LLaMA, Mistral, etc.). Expérience dans l'optimisation et le fine-tuning de modèles pré-entraînés. Solide compréhension des frameworks d'IA (Hugging Face, LangChain, PyTorch, TensorFlow, etc.). Expérience avec les bases de données (SQL, NoSQL) et les solutions cloud (Azure OpenAI, AWS, GCP). Bonne capacité à travailler en mode agile et à collaborer avec des experts multidisciplinaires. Une expérience dans le domaine des sciences de la vie, de la santé ou de la réglementation pharmaceutique est un plus.  Pourquoi nous rejoindre ?  Travailler sur des projets d'IA à fort impact dans un secteur critique. Intégrer une startup deeptech en pleine croissance avec une ambition internationale. Collaborer avec une équipe passionnée et hautement qualifiée. Opportunités de formation continue et d'évolution rapide. Flexibilité de travail (télétravail possible).  Comment postuler ?  Envoyez votre CV et une lettre de motivation à Rakia.jaziri@wealthy-technology.com avec l'objet """"Candidature Data Scientist Gen AI"""".","WEALTHY TECHNOLOGY","75 - PARIS 15","48.84162","2.295289","","","CDI","","Temps plein","30000.0","35000.0","EUR","annuel","Expérience exigée","Data scientist","Activités spécialisées, scientifiques et techniques diverses","","https://candidat.francetravail.fr/offres/recherche/detail/189YGJZ","Data engineer; Programmation en Python; Technologies HADOOP; Adapter les outils de traitement statistique de données; Conduire des travaux d'études et de recherche; Définir et faire évoluer des procédés de traitement de l'information; Analyser des données pour soutenir des décisions stratégiques; Analyser / traiter l'information à des fins d'anticipation; Assurer le suivi de la qualité des données; Concevoir des modèles théoriques (calcul, simulation, modélisation); Définir les solutions de stockage et de structuration des données; Exploiter des solutions de Data Science ou d'Intelligence Artificielle; Gérer des données massives; Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement; Réaliser des enquêtes statistiques selon les résultats issus des solutions de Data Science; Réaliser un modèle de prévision; Structurer, synthétiser des informations","","False"
"3811905","france_travail","Data Ingénieur Cloud Architect (H/F)","Qui sommes nous ? Nous c'est Lutessa, ESN hyper-spécialisée dans 3 domaines d'activité : la Connectivité, le Cloud et la Cybersécurité. Grâce à une centaine de spécialistes technophiles, Lutessa accompagne ses clients, à savoir, constructeurs, opérateurs, intégrateurs et grands donneurs d'ordres dans l'étude, l'intégration et la gestion de leurs infrastructures critiques. A ce jour, Lutessa couvre aujourd'hui 2 territoires : la France & Monaco, et a l'ambition d'en ouvrir d'autres ! Pourquoi nous rejoindre ? Ingénieurs en Cybersécurité, Réseau et Cloud avant tout passionnés par les infrastructures informatiques et également curieux, et animés par l'envie d'un perfectionnement continu ? Rejoignez la Lutessa Family ! Au delà de vos compétences intrinsèquement techniques, Lutessa vous accueille comme vous êtes et sa promesse est de bâtir ensemble votre carrière avec sincérité et transparence. Lutessa se veut être un catalyseur et un bâtisseur de carrière, en vous stimulant et vous exposant sur des projets pertinents et enrichissants pour vous. Vos RingLeaders (référents techniques) s'engagent à vous accompagner dans votre développement en veillant à incarner et transmettre leurs valeurs en toute simplicité. Venez développer votre potentiel au sein d'une société à taille humaine qui se définit comme une entreprise Joyeuse ! Pour en savoir plus sur notre état d'esprit : https://www.lutessa.com #LI-SL1 Le poste :   Pour une mission longue auprès de notre client, nous recherchons un Data Ingénieur Cloud Architect. Contexte et mission : Le département Data IA (DaIA) est responsable de fournir aux métiers une infrastructure technologique permettant de mettre en production et d'industrialiser les cas d'usage Data et IA. Ceci inclut le développement d'une plateforme d'enrichissement des métadonnées des contenus (IA & GenAI).  Nous recherchons un Tech Lead Cloud / Data Ingénieur expérimenté pour concevoir, construire et gérer notre offre de service mesh Data/IA. Le candidat idéal participera activement à la mise en place de l'infrastructure, en assurant sa bonne intégration avec la plateforme data et les produits associés et l'optimisation des différents aspects techniques.  - Concevoir, gérer et maintenir le service mesh permettant la mise à disposition des API Data et IA et l'orchestration des traitements dans le respect des contraintes de disponibilité, sécurité et performance. - Mettre en place et maintenir les outils de surveillance, de journalisation et de gestion des erreurs. - Designer et participer à la mise en oeuvre de la plate-forme sur les aspects réseau, sécurité, DNS, etc. - Designer et Industrialiser les pipelines CI/CD pour automatiser les déploiements logiciels. - Co designer avec les tech Lead Data Science pour designer et mettre en place les solutions technologique MLOps appropriées afin de pouvoir industrialiser les différents cas d'usages des métiers Data & IA . - Designer et mettre en place la migration de la stack technique Data vers la nouvelle plate-forme. - Garantir que l'architecture de la stack Data est en totale adéquation avec l'ensemble du SI applicatif - Assurer la maintenance et l'optimisation des systèmes de données existant. - Assurer une veille technologique constante pour rester à jour sur les tendances et les meilleures pratiques en matière de DevOps. #LI-SL1 Profil recherché :   Une expérience de 10 ans minimum est souhaitée, expérience avérée dans la mise en place et la migration de plate-formes data; Ingénierie de données, en particulier avec les technologies de big data; Architecture micro services et l'utilisation d'API externe; Cloud Provider - GCP , AWS; AWS (S3, Lambda, RDS, EventBridge, EKS) Langages de programmation et de Génie Logiciel (SQL, Python, Java, Scala, Spark)  Transforamtion de Données et Orchestration (DBT, Dataform, Cloud Function, BigQuery, Airflow)  Bases de données (MySQL, Postgres, Oracle, SQLServer): Technologies de CI/CD et Infra as Code (Gitlab, Terraform)  Technologies d'infrastructure et de déploiement As Code (Terraform, Ansible)  Outil de restitution de DataViz (SAP BO, PowerBI, Looker, Cube MOLAP, Hyperion )  Capacité à travailler en équipe et à communiquer efficacement (Agile)  #LI-SL1","LUTESSA","75 - PARIS 02","48.867669","2.341157","","","CDI","Contrat à durée indéterminée","","","","EUR","","Expérience exigée","Architecte cloud","","","https://candidat.francetravail.fr/offres/recherche/detail/3811905","","","False"
"3473962","france_travail","Sales Operations Data Engineer F/H - Walter Learning (H/F)","Au sein de notre département Technique, nous sommes à la recherche de notre nouveau(elle) Head of Sales Engineering.   Le rôle principale de l'équipe Technique est d'appuyer le fonctionnement de l'ensemble des départements de Walter Learning (Production audiovisuelle, Marketing, Sales...) en structurant leurs outils et flux de données, avec un accent particulier mis sur l'automatisation de chaque tâche pour permettre à tous de se concentrer sur l'expérience d'apprentissage de nos étudiants. En particulier auprès des équipes marketing, en réalisant l'intégration des flux entrants au sein de campagnes d'appel dont la gestion est assurée par des règles automatisées, mais aussi des équipes commerciales sur la mise à disposition d'outils de gestion avancée du CRM et des processus de vente.       Les missions du Head of Sales Engineering sont les suivantes :       Réaliser l'intégration des sources marketing au sein du CRM et optimiser les différents flux de données Automatiser l'injection et le suivi au sein des campagnes d'appel Développer de nouvelles fonctionnalités liées à la mise en vente ainsi qu'à la supervision de l'activité commerciale Organiser, assurer la qualité et réaliser des extractions des différentes base de données Accompagner les équipes commerciales en répondant à leurs demandes opérationnelles liées à leur activité Suivre les systèmes déployés, corriger les anomalies détectées et s'assurer du bon rétablissement des opérations commerciales impactées.  Les compétences techniques attendues sont les suivantes :    Maîtrise complète de Python     Gestion de grandes quantités de données    Gestion de flux de données via API et création de connecteur      Modélisation, stockage et récupération de données     Déploiement de schémas adaptés aux usages rencontrés    Maîtrise avancée du SQL sur des requêtes complexes et optimisées      Utilisation du Framework Django et en particulier des Queryset    Gestion des environnements de développement (Docker, Bash)    Être à l'aise avec les déploiements sur des environnement serverless AWS","Walter Learning","75 - PARIS 02","48.867669","2.341157","","","CDI","Contrat à durée indéterminée","","","","EUR","","Expérience exigée","Ingénieur / Ingénieure DevOps","Autres enseignements","","https://candidat.francetravail.fr/offres/recherche/detail/3473962","","","False"
