,code,libelle
0,A1413,Brasseur / Brasseuse de bière
1,A1414,Horticulteur / Horticultrice
2,A1415,Marin-pêcheur
3,A1416,Agriculteur / Agricultrice
4,A1417,Saliculteur / Salicultrice
5,A1501,Auxiliaire vétérinaire
6,A1502,Maréchal-ferrant / Maréchale-ferrante
7,A1503,Toiletteur / Toiletteuse d'animaux
8,A1504,Vétérinaire
9,A1201,Bûcheron / Bûcheronne
10,A1202,Agent / Agente d'entretien des espaces naturels
11,A1203,Agent / Agente d'entretien des espaces verts
12,A1204,Garde Forestier / Forestière
13,A1205,Sylviculteur / Sylvicultrice
14,A1301,Technicien / Technicienne de culture maraîchère
15,A1302,Technicien / Technicienne agricole
16,A1303,Ingénieur / Ingénieure agronome
17,A1401,Vendangeur / Vendangeuse
18,A1402,Aide horticole
19,A1403,Aide d'élevage agricole
20,A1404,Aquaculteur / Aquacultrice
21,A1405,Arboriculteur / Arboricultrice
22,A1406,Capitaine de pêche
23,A1407,Éleveur / Éleveuse de bovins
24,A1408,Éleveur / Éleveuse d'animaux
25,A1409,Aviculteur / Avicultrice
26,A1410,Éleveur / Éleveuse d'ovins
27,A1411,Éleveur / Éleveuse de porcins
28,B1101,Artiste Plasticien / Plasticienne
29,B1201,Céramiste d'art
30,B1301,Étalagiste
31,B1302,Décorateur / Décoratrice d'objets d'art
32,B1303,Graveur / Graveuse d'art
33,B1401,Vannier / Vannière
34,A1101,Conducteur / Conductrice d'engins agricoles
35,D1205,Employé / Employée de pressing
36,D1206,Cordonnier / Cordonnière
37,D1207,Retoucheur / Retoucheuse en habillement
38,D1208,Esthéticien / Esthéticienne
39,D1209,Fleuriste
40,D1210,Vendeur / Vendeuse en animalerie
41,D1211,Vendeur / Vendeuse d'articles de sport et loisirs
42,D1212,Vendeur / Vendeuse en équipement de la maison
43,B1402,Relieur / Relieuse d'art
44,B1501,Facteur / Factrice d'instruments de musique
45,B1601,Métallier / Métallière d'art
46,B1602,Souffleur / Souffleuse de verre
47,B1603,Opérateur / Opératrice en orfèvrerie et bijouterie
48,B1604,Horloger / Horlogère
49,C1301,Trader
50,C1302,Gestionnaire des opérations sur les marchés financiers
51,C1104,Responsable d'agence en assurances
52,C1105,Actuaire
53,C1106,Expert / Experte risques en assurances
54,C1107,Chargé / Chargée d'indemnisations en assurances
55,C1108,Responsable de département en assurances
56,C1109,Gestionnaire en assurances
57,C1110,Souscripteur / Souscriptrice en assurances
58,C1201,Chargé / Chargée d'accueil en banque
59,C1202,Analyste de crédits et risques bancaires
60,C1203,Chargé / Chargée d'affaires bancaires entreprise
61,C1204,Gestionnaire de produits bancaires
62,C1205,Conseiller / Conseillère en gestion de patrimoine
63,C1206,Conseiller / Conseillère de clientèle bancaire
64,C1207,Directeur / Directrice d'agence bancaire
65,D1213,Vendeur / Vendeuse grossiste de matériels et équipements
66,D1214,Vendeur / Vendeuse en prêt-à-porter
67,D1301,Responsable de magasin
68,D1401,Assistant commercial / Assistante commerciale
69,D1402,Commercial / Commerciale grands comptes et entreprises
70,D1403,Commercial / Commerciale auprès des particuliers
71,D1404,Commercial / Commerciale en automobiles
72,D1405,Conseiller / Conseillère en information médicale
73,D1406,Responsable des ventes
74,D1407,Technico-commercial / Technico-commerciale
75,F1603,Plombier / Plombière
76,C1303,Gérant / Gérante de portefeuille financier
