,code,libelle
0,E1,Contrat travail
1,E2,Contrat apprentissage
2,FA,Act. Formation pré.recrut.
3,FJ,Contrat pacte
4,FS,Cont. professionnalisation
5,FT,CUI - CAE
6,FU,CUI - CIE
7,I1,Insertion par l'activ.éco.
8,NS,Emploi non salarié
9,FV,Prépa.opérationnel.emploi
10,FW,Emploi Avenir non marchand
11,FX,Emploi Avenir marchand
12,FY,Emploi Avenir Professeur
13,PS,Portage salarial
14,PR,Contrat PrAB
15,CC,CDI de chantier ou d’opération
16,CU,Contrat d'usage
17,EE,Contrat d'Engagement Educatif
18,ER,Engagement à servir dans la réserve
19,CI,Contrat intermittent
