,code,libelle
0,65,Chili
1,5S,Somalie
2,3K,Djibouti
3,4C,Guyana
4,6I,Zimbabwe
5,5C,Papouasie Nouvelle Guinée
6,1O,Guam Mariannes Nord et Samoa
7,1X,Tuvalu
8,59,Ouzbékistan
9,5R,Sierra Leone
10,70,Arabie Saoudite
11,1A,Akrotiri et Dekhelia
12,3S,Gambie
13,11,Grèce
14,8A,Corée du Sud
15,3L,Dominique
16,1F,Montserrat
17,38,Egypte
18,1K,Palestine
19,1B,Groenland
20,57,Oman
21,49,Madagascar
22,1N,"Cook, Niue et Tokelau"
23,5L,St-Vincent Grenadines
24,45,Tchad
25,1I,Antilles Néerland.
26,4L,Kazakhstan
27,05,Belgique (Frontalier)
28,86,Singapour
29,6Q,Timor Oriental
30,09,Royaume-Uni
31,4G,Maurice
32,5H,Qatar
33,37,Côte d'Ivoire
34,6E,Uruguay
35,5J,Rwanda
36,4Q,Lesotho
37,3J,Cuba
38,23,Suisse
39,34,Cameroun
40,66,Colombie
41,2G,Albanie
42,13,Irlande
43,4B,Afrique du Sud
44,6G,Yémen
45,5U,Sri Lanka
46,6C,Trinité Tobago
47,3P,Estonie
48,36,Congo
49,25,Bulgarie
50,4J,Jersey
51,44,Sénégal
52,9Z,Antarctique
53,4H,Fidji
54,35,Centrafrique
55,3R,Iles Féroé
56,80,Cambodge
57,40,Libye
58,3E,Ukraine
59,1R,Micronésie
60,2B,Slovaquie
61,89,Thaïlande
62,2A,République Tchèque
63,03,Allemagne (Frontalier)
64,3Q,Ethiopie
65,3U,Ghana
66,82,Inde
67,28,Roumanie
68,3B,Guinée-Bissau
69,93,Islande
70,39,Gabon
71,61,Etats-Unis
72,33,Algérie
73,5A,Pakistan
74,81,Chine
75,5B,Panama
76,10,Royaume-Uni (Frontalier)
77,55,Niger
78,1U,Pitcairn
79,2C,Croatie
80,6D,Turkménistan
81,3W,Grenade
82,19,Autriche
83,16,Luxembourg
84,4M,Kenya
85,06,Danemark
86,27,Pologne
87,30,Monténégro Serbie
88,15,Italie (Frontalier)
89,60,Canada
90,47,Rép. Démocratique du Congo
91,4O,Koweït
92,4I,Jamaïque
93,5I,République Dominicaine
94,54,Nicaragua
95,4N,Kirghizistan
96,2O,Bangladesh
97,67,Vénézuela
98,6K,Cap-Vert
99,5Y,Swaziland
100,4P,Laos
101,2I,Principauté d'Andorre
102,72,Israël
103,1S,Nauru
104,51,Mozambique
105,88,Indonésie
106,42,Maroc
107,2K,Antigua-Barbuda
108,58,Ouganda
109,4Y,Moldavie
110,6B,Togo
111,4U,Malawi
112,04,Belgique
113,3M,Emirats Arabes Unis
114,4R,Libéria
115,6O,Mongolie
116,3A,Lituanie
117,2R,Bénin
118,2D,Slovénie
119,1Q,Marshall
120,4A,Nigéria
121,3V,Gibraltar
122,41,Mali
123,21,Norvège
124,5D,Paraguay
125,2F,Macédoine
126,6N,Guinée Equatoriale
127,4D,Haïti
128,17,Luxembourg (Frontalier)
129,3I,Costa Rica
130,2M,Bahamas
131,5W,Surinam
132,1V,Salomon
133,5O,Samoa Occident.
134,3N,Equateur
135,1J,Malouines
136,4W,Malte
137,43,Mauritanie
138,1T,Palau
139,1G,Iles Turques et Caïques
140,87,Taïwan
141,3D,Russie
142,4T,Malaisie
143,1W,Tonga
144,1C,Anguilla
145,5E,Pérou
146,2U,Myanmar (Birmanie)
147,4Z,Principauté de Monaco
148,1H,Iles Vierges Britann.
149,5Z,Tadjikistan
150,2X,Brunei Darussalam
151,52,Namibie
152,3Y,Guernesey
153,14,Italie
154,6P,Tanzanie
155,6H,Zambie
156,6L,Chypre
157,71,Iran
158,3X,Guatemala
159,3F,Comores
160,26,Hongrie
161,2H,Arménie
162,63,Argentine
163,18,Portugal
164,6M,Guinée
165,74,Irak
166,84,Viêt-Nam
167,2Z,Burundi
168,5F,Philippines
169,62,Mexique
170,1E,Iles Cayman
171,75,Syrie
172,5V,Saint-Marin
173,6F,Vanuatu
174,56,Nouvelle-Zélande
175,4X,Ile de Man
176,1M,"Christmas, Cocos et Norfolk"
177,12,Pays-Bas
178,5Q,Seychelles
179,92,Liechtenstein
180,5T,Soudan
181,2L,Azerbaïdjan
182,2E,Bosnie-Herzégovine
183,6J,Afghanistan
184,2Q,Bélize
185,2J,Angola
186,1L,Sainte-Hélène
187,2P,Barbade
188,46,Tunisie
189,08,Espagne (Frontalier)
190,02,Allemagne
191,20,Finlande
192,2W,Botswana
193,5G,Porto Rico
194,4K,Jordanie
195,5N,Salvador
196,64,Brésil
197,4V,Maldives
198,3O,Erythrée
199,73,Liban
200,3T,Géorgie
201,3C,Lettonie
202,76,Turquie
203,5K,"St-Christophe, Niévès"
204,2T,Biélorussie
205,2Y,Burkina-Faso
206,22,Suède
207,5M,Sainte-Lucie
208,4E,Honduras
209,1D,Bermudes
210,2V,Bolivie
211,1P,Kiribati
212,2N,Bahreïn
213,2S,Bhoutan
214,01,France
215,90,Australie
216,53,Népal
217,3H,Corée du Nord
218,07,Espagne
219,5P,São Tomé et Principe
220,83,Japon
