,code,libelle
0,01,Métiers de l'environnement et du développement durable
1,02,"Métiers de la défense et de la sécurité publique (hors logistique, santé, tertiaire, restauration)"
2,03,Métiers du patrimoine et de la restauration d'oeuvres d'art
3,04,Métiers de l'intelligence économique
4,05,Métiers de la recherche
5,06,"Métiers de la mer, du nautisme et de la construction navale"
6,07,Métiers de l'aéronautique
7,08,Métiers de la sécurité publique et privée
8,09,Métiers du multimédia
9,10,Métiers de l'humanitaire (hors santé et tertiaire)
10,11,Métiers du nucléaire
11,12,Métiers auprès des enfants
12,13,"Métiers saisonniers, de vacances / Jobs d'été"
13,14,Métiers des services à la personne à domicile
14,15,Métiers du sport et autour du sport
15,16,Métiers de l'ingénierie
16,17,Métiers accessibles sans diplôme et sans expérience
