code_rome,libelle,code_appellation,code_domaine,libelle_search
A1101,Conducteur / Conductrice d'engins agricoles,404030,A11,Conducteur d'engins agricoles
A1101,Chauffeur / Chauffeuse de machines agricoles,11987,A11,Chauffeur de machines agricoles
A1101,Conducteur / Conductrice d'automoteur de récolte,38874,A11,Conducteur d'automoteur de récolte
A1101,Conducteur / Conductrice d'engins d'exploitation agricole,13254,A11,Conducteur d'engins d'exploitation agricole
A1101,Conducteur / Conductrice d'épareuse,38877,A11,Conducteur d'épareuse
A1101,Conducteur / Conductrice de machines à vendanger,13232,A11,Conducteur de machines à vendanger
A1101,Conducteur / Conductrice de matériels de semis,38878,A11,Conducteur de matériels de semis
A1101,Conducteur / Conductrice de pulvérisateur,38875,A11,Conducteur de pulvérisateur
A1101,Conducteur / Conductrice de tracteur,13201,A11,Conducteur de tracteur
A1101,Conducteur / Conductrice de tracteur enjambeur,140877,A11,Conducteur de tracteur enjambeur
A1101,Conducteur / Conductrice de tracto-benne,38879,A11,Conducteur de tracto-benne
A1101,Opérateur / Opératrice d'épandage,38876,A11,Opérateur d'épandage
A1101,Tractoriste agricole,20404,A11,Tractoriste agricole
A1101,Tractoriste viticole,405363,A11,Tractoriste viticole
A1102,Conducteur / Conductrice d'engins d'exploitation forestière,13255,A11,Conducteur d'engins d'exploitation forestière
A1102,Conducteur / Conductrice d'abatteuses,12862,A11,Conducteur d'abatteuses
A1102,Conducteur / Conductrice d'engins de débardage,13248,A11,Conducteur d'engins de débardage
A1102,Conducteur / Conductrice d'engins forestiers,13256,A11,Conducteur d'engins forestiers
A1102,Conducteur / Conductrice d'engins sylvicoles,404029,A11,Conducteur d'engins sylvicoles
A1102,Conducteur / Conductrice de tête d'abattage,13197,A11,Conducteur de tête d'abattage
A1102,Conducteur / Conductrice de tracteur forestier,404027,A11,Conducteur de tracteur forestier
A1102,Débardeur / Débardeuse,13886,A11,Débardeur
A1102,Débardeur forestier / Débardeuse forestière,13887,A11,Débardeur forestier forestière
A1102,Opérateur / Opératrice d'abatteuse,17055,A11,Opérateur d'abatteuse
A1102,Pilote de machines d'abattage,17751,A11,Pilote de machines d'abattage
A1102,Tractoriste forestier / Tractoriste forestière,20405,A11,Tractoriste forestier forestière
A1201,Bûcheron / Bûcheronne,11606,A12,Bûcheron
A1201,Bûcheron élagueur / Bûcheronne élagueuse,11607,A12,Bûcheron élagueur élagueuse
A1201,Charbonnier / Charbonnière,11740,A12,Charbonnier
A1201,Commis / Commise de coupe,12755,A12,Commis de coupe
A1201,Homme / Femme de pied,38435,A12,Homme de pied
A1201,Ouvrier / Ouvrière d'exploitation forestière,17483,A12,Ouvrier d'exploitation forestière
A1202,Agent / Agente d'entretien des espaces naturels,10673,A12,Agent d'entretien des espaces naturels
A1202,"Agent / Agente d'aménagement des circuits pédestres, équestres et Vtt",10382,A12,"Agent d'aménagement des circuits pédestres, équestres et Vtt"
A1202,Agent / Agente d'aménagement des haies et fossés,10383,A12,Agent d'aménagement des haies et fossés
A1202,Agent / Agente d'entretien de l'espace rural,10667,A12,Agent d'entretien de l'espace rural
A1202,Agent / Agente d'entretien de la nature,10664,A12,Agent d'entretien de la nature
A1202,Agent / Agente d'entretien des rivières,10677,A12,Agent d'entretien des rivières
A1202,Agent / Agente d'entretien nature du littoral,10685,A12,Agent d'entretien nature du littoral
A1202,Agent / Agente d'entretien nature et biodiversité,38323,A12,Agent d'entretien nature et biodiversité
A1202,Agent / Agente technique de l'environnement (ATE),489238,A12,Agent technique de l'environnement (ATE)
A1202,Ouvrier / Ouvrière d'entretien des espaces naturels,17474,A12,Ouvrier d'entretien des espaces naturels
