ID_LIEU,CODE_POSTAL,VILLE,DEPARTEMENT,REGION,PAYS,LATITUDE,LONGITUDE,POPULATION
1,1400,L'Abergement-Clémenciat,Ain,Auvergne-Rhône-Alpes,France,46.1517,4.9306,859.0
2,1640,L'Abergement-de-Varey,Ain,Auvergne-Rhône-Alpes,France,46.0071,5.4247,273.0
3,1500,Ambérieu-en-Bugey,Ain,Auvergne-Rhône-Alpes,France,45.9575,5.3706,15554.0
4,1330,Ambérieux-en-Dombes,Ain,Auvergne-Rhône-Alpes,France,45.9992,4.9119,1917.0
5,1300,Ambléon,Ain,Auvergne-Rhône-Alpes,France,45.7483,5.5928,114.0
6,1500,Ambronay,Ain,Auvergne-Rhône-Alpes,France,46.0099,5.3627,2828.0
7,1500,Ambutrix,Ain,Auvergne-Rhône-Alpes,France,45.9347,5.3359,764.0
8,1300,Andert-et-Condon,Ain,Auvergne-Rhône-Alpes,France,45.7841,5.6607,335.0
9,1350,Anglefort,Ain,Auvergne-Rhône-Alpes,France,45.9086,5.7948,1150.0
10,1100,Apremont,Ain,Auvergne-Rhône-Alpes,France,46.2045,5.6619,399.0
11,1110,Aranc,Ain,Auvergne-Rhône-Alpes,France,45.9972,5.514,329.0
12,1230,Arandas,Ain,Auvergne-Rhône-Alpes,France,45.8885,5.4982,140.0
13,1100,Arbent,Ain,Auvergne-Rhône-Alpes,France,46.2838,5.6879,3482.0
14,1300,Arboys en Bugey,Ain,Auvergne-Rhône-Alpes,France,45.7189,5.6404,688.0
15,1190,Arbigny,Ain,Auvergne-Rhône-Alpes,France,46.4808,4.9613,459.0
16,1230,Argis,Ain,Auvergne-Rhône-Alpes,France,45.9322,5.4819,420.0
17,1510,Armix,Ain,Auvergne-Rhône-Alpes,France,45.8523,5.5837,25.0
18,1480,Ars-sur-Formans,Ain,Auvergne-Rhône-Alpes,France,45.9904,4.8195,1513.0
19,1510,Artemare,Ain,Auvergne-Rhône-Alpes,France,45.8701,5.692,1141.0
20,1570,Asnières-sur-Saône,Ain,Auvergne-Rhône-Alpes,France,46.3859,4.882,77.0
21,1340,Attignat,Ain,Auvergne-Rhône-Alpes,France,46.2858,5.1823,3372.0
22,1380,Bâgé-Dommartin,Ain,Auvergne-Rhône-Alpes,France,46.3277,4.9704,4057.0
23,1380,Bâgé-le-Châtel,Ain,Auvergne-Rhône-Alpes,France,46.3081,4.9305,987.0
24,1360,Balan,Ain,Auvergne-Rhône-Alpes,France,45.8268,5.1076,2878.0
25,1990,Baneins,Ain,Auvergne-Rhône-Alpes,France,46.1117,4.9045,618.0
26,1270,Beaupont,Ain,Auvergne-Rhône-Alpes,France,46.4274,5.2634,717.0
27,1480,Beauregard,Ain,Auvergne-Rhône-Alpes,France,46.0012,4.7567,826.0
28,1100,Bellignat,Ain,Auvergne-Rhône-Alpes,France,46.2402,5.6371,3581.0
29,1360,Béligneux,Ain,Auvergne-Rhône-Alpes,France,45.8622,5.1415,3484.0
30,1200,Valserhône,Ain,Auvergne-Rhône-Alpes,France,46.1234,5.7944,16162.0
31,1300,Belley,Ain,Auvergne-Rhône-Alpes,France,45.743,5.6927,9270.0
32,1130,Belleydoux,Ain,Auvergne-Rhône-Alpes,France,46.2519,5.7816,306.0
33,1260,Valromey-sur-Séran,Ain,Auvergne-Rhône-Alpes,France,45.9236,5.6626,1350.0
34,1470,Bénonces,Ain,Auvergne-Rhône-Alpes,France,45.842,5.4834,311.0
35,1370,Bény,Ain,Auvergne-Rhône-Alpes,France,46.3189,5.2789,769.0
36,1340,Béréziat,Ain,Auvergne-Rhône-Alpes,France,46.3699,5.0431,481.0
37,1500,Bettant,Ain,Auvergne-Rhône-Alpes,France,45.9366,5.3648,762.0
38,1290,Bey,Ain,Auvergne-Rhône-Alpes,France,46.2182,4.844,290.0
39,1700,Beynost,Ain,Auvergne-Rhône-Alpes,France,45.8359,4.9964,4936.0
40,1200,Billiat,Ain,Auvergne-Rhône-Alpes,France,46.0778,5.7632,669.0
41,1330,Birieux,Ain,Auvergne-Rhône-Alpes,France,45.9509,5.0401,280.0
42,1290,Biziat,Ain,Auvergne-Rhône-Alpes,France,46.224,4.9393,897.0
43,1150,Blyes,Ain,Auvergne-Rhône-Alpes,France,45.8442,5.2515,1351.0
44,1120,La Boisse,Ain,Auvergne-Rhône-Alpes,France,45.8483,5.0262,3401.0
45,1190,Boissey,Ain,Auvergne-Rhône-Alpes,France,46.3723,4.9975,390.0
46,1380,Boissey,Ain,Auvergne-Rhône-Alpes,France,46.3723,4.9975,390.0
47,1450,Bolozon,Ain,Auvergne-Rhône-Alpes,France,46.1971,5.4701,99.0
48,1330,Bouligneux,Ain,Auvergne-Rhône-Alpes,France,46.0202,4.9957,323.0
