id_rome,code_rome
1,A1101
2,A1102
3,A1201
4,A1202
5,A1203
6,A1204
7,A1205
8,A1206
9,A1207
10,A1208
11,A1209
12,A1210
13,A1211
14,A1212
15,A1213
16,A1301
17,A1302
18,A1303
19,A1304
20,A1401
21,A1402
22,A1403
23,A1404
24,A1405
25,A1406
26,A1407
27,A1408
28,A1409
29,A1410
30,A1411
31,A1412
32,A1413
33,A1414
34,A1415
35,A1416
36,A1417
37,A1418
38,A1419
39,A1420
40,A1421
41,A1422
42,A1423
43,A1424
44,A1425
45,A1426
46,A1427
47,A1428
48,A1429
49,A1430
50,A1431
51,A1501
52,A1502
53,A1503
54,A1504
55,A1505
56,A1506
57,A1507
58,B1101
59,B1102
60,B1103
61,B1201
62,B1301
63,B1302
64,B1303
65,B1304
66,B1401
67,B1402
68,B1403
69,B1501
70,B1601
71,B1602
72,B1603
73,B1604
74,B1605
75,B1606
76,B1607
77,B1608
78,B1609
79,B1610
80,B1611
81,B1612
82,B1613
83,B1614
84,B1615
85,B1701
86,B1801
87,B1802
88,B1803
89,B1804
90,B1805
91,B1806
92,C1101
93,C1102
94,C1103
95,C1104
96,C1105
97,C1106
98,C1107
99,C1108
100,C1109
101,C1110
102,C1111
103,C1112
104,C1113
105,C1201
106,C1202
107,C1203
108,C1204
109,C1205
110,C1206
111,C1207
112,C1208
113,C1301
114,C1302
115,C1303
116,C1401
117,C1501
118,C1502
119,C1503
120,C1504
121,C1505
122,C1506
123,D1101
124,D1102
125,D1103
126,D1104
127,D1105
128,D1106
129,D1107
130,D1108
131,D1109
132,D1201
133,D1202
134,D1203
135,D1204
136,D1205
137,D1206
138,D1207
139,D1208
140,D1209
141,D1210
142,D1211
143,D1212
144,D1213
145,D1214
146,D1215
147,D1216
148,D1217
149,D1218
150,D1219
151,D1220
152,D1221
153,D1222
154,D1301
155,D1302
156,D1401
157,D1402
158,D1403
159,D1404
160,D1405
161,D1406
162,D1407
163,D1408
164,D1409
165,D1410
166,D1411
167,D1412
168,D1413
169,D1414
170,D1415
171,D1416
172,D1417
173,D1418
174,D1419
175,D1420
176,D1501
177,D1502
178,D1503
179,D1504
180,D1505
181,D1506
182,D1507
183,D1508
184,D1509
185,D1510
186,E1101
187,E1102
188,E1103
